FacTypeID,FacTypeDescription,FacTypeDefinition
"1","Athletics Tracks","Permanently constructed all weather 400m outdoor running track with a minimum number of 4 lanes. Does not include tracks that are seasonally marked out on grass or short (200m) training tracks that are marked out on Synthetic Turf pitches."
"2","Health and Fitness Suite","Normally a minimum of 20 stations, although some small health & fitness suites may be included."
"3","Indoor Bowls","Permanent indoor facility which contains a carpeted bowls green area.  Can be a purpose built bowls centre or dedicated bowls area within a sports facility.   The bowls green area must be specifically constructed for bowls use.  Does not include short matt bowls areas, which are temporarily laid out in multi purpose halls.  "
"4","Indoor Tennis Centre","Covered or indoor tennis courts,  includes stand alone indoor tennis structures, purpose built tennis centres and indoor courts connected to other sports facilities, such as sports clubs.  To only include dedicated indoor tennis courts, and not multi use halls or outdoor MUGA's which are marked out as tennis courts.  "
"5","Grass Pitches","A grass that is marked out for at least part of the year as a pitch for a particular sport, upon which a match could be played.  Does not include synthetic turf pitches (these should be included in STPs).  Does not include grass pitches of less than 0.4 hectares."
"6","Sports Hall","Indoor multi-sports hall where a range of sport and recreational activities are carried out. 2 or more of the sport and recreational activities must be from the list of Activities, one or more of which must be on at least a weekly basis. One hall per site must be at least 18x10m, the size of one badminton court including surrounding safety area. Includes specifically designed sports halls, such as leisure centres and school sports halls, and also additional halls where activities can take place, such as school assembly halls, community buildings and village halls.  Specialist centres, e.g. dance centres, are not included. Includes other structures which may have been developed for other purposes but are now being used as a permanent sports hall (Barn)."
"7","Swimming Pool","Enclosed area of water, specifically maintained for all forms of water based sport & recreation.  Includes general swimming, teaching, training, diving, club use and school use.  Includes indoor and outdoor pools, freeform leisure pools, specific diving tanks. Where an area of a pool is normally cordoned off as a purpose-built off-shoot of the main rectangular tank, e.g. diving section off a main pool, it is treated as a separate pool."
"8","Artificial Grass Pitch","Synthetic alternative to grass, providing an all weather surface for pitch sports, in particular, hockey and football. All sizes included. Does not include other non turf surfaces, such as tarmac, concrete, Redgra (natural aggregate dressing). Where there are two pitches within one site of the same sub type but different measurements, these should be entered as separate facilities."
"9","Golf","All golf courses with a minimum number of 9 holes, and driving ranges"
"10","Ice Rinks","All permanent ice rinks.  Does not include temporary ice rinks such as the one at Somerset House."
"11","Ski Slopes","A slope for skiing;  natural slopes may be seasonal.  Does not include cross-country skiing tracks."
"12","Studio","A purpose built studio where classes are held for a range of activities such as yoga, aerobics, spinning, martial arts etc.  Normally it has a sprung floor and/or mirrors.
It must be at a site that also has another Active Places facility.
"
"13","Squash Courts","Purpose build court(s) designed for playing squash.  A Squash court is a rectangular box with four vertical walls of varying height, being the Front Wall, Side Walls and Back Wall.  It has a level floor and a clear height above the court area.  Minimum dimensions are 9.74m x 6.39m.  The clear height above finished floor level (i.e. the height to the underside of the lowest obstruction) over the whole of the court must be not less than 5.64m."
"17","Tennis Courts","Marked out for tennis only, these should be one full size court with safety margins and be fenced. May be floodlit."
"20","Cycling","Permanently constructed facilities to support cycling. Excludes facilities to support everyday cycling such as cycle lanes (including long distance cycleways), cycleparking etc."
